benfica_match_id,date,season,competition,venue,opponent_key,opponent,home_team,away_team,round,home_goals,away_goals,result_home,sofascore_event_id,fotmob_match_id,football_data_row_id,benfica_goals,opponent_goals,result,possession,shots,shots_on_target,xg,opponent_possession,opponent_shots,opponent_shots_on_target,opponent_xg,xg_open_play,xg_set_play,xg_non_penalty,xgot,opponent_xg_open_play,opponent_xg_set_play,opponent_xg_non_penalty,opponent_xgot,shot_difference,shots_on_target_difference,xg_difference,shot_accuracy,opponent_shot_accuracy,xg_per_shot,opponent_xg_per_shot,points
SLB_20260125_H_ESTRELAAMADORA,2026-01-25,2025/26,Liga Portugal,Home,estrelaamadora,CF Estrela Amadora,Benfica,CF Estrela Amadora,19.0,4,0,H,14288958,4844331,167,4,0,W,66%,15,8,2.53,34%,3,1,0.13,1.54,0.2,1.75,3.12,0.09,0.04,0.13,0.0,12,7,2.4,0.5333333333333333,0.3333333333333333,0.16866666666666666,0.043333333333333335,3
SLB_20260201_A_TONDELA,2026-02-01,2025/26,Liga Portugal,Away,tondela,Tondela,Tondela,Benfica,20.0,0,0,D,14288966,4844335,177,0,0,D,77%,24,8,2.1,23%,6,1,0.48,1.77,0.33,2.1,2.31,0.43,0.05,0.48,0.02,18,7,1.62,0.3333333333333333,0.16666666666666666,0.08750000000000001,0.08,1
SLB_20260208_H_ALVERCA,2026-02-08,2025/26,Liga Portugal,Home,alverca,FC Alverca,Benfica,FC Alverca,21.0,2,1,H,14288979,4844343,186,2,1,W,63%,29,10,1.97,37%,6,2,1.14,1.58,0.39,1.97,3.17,0.67,0.47,1.14,0.49,23,8,0.8300000000000001,0.3448275862068966,0.3333333333333333,0.06793103448275863,0.18999999999999997,3
SLB_20260213_A_SANTACLARA,2026-02-13,2025/26,Liga Portugal,Away,santaclara,Santa Clara,Santa Clara,Benfica,22.0,1,2,A,14288997,4844356,189,2,1,W,47%,10,3,1.19,53%,9,2,0.28,1.01,0.18,1.19,2.02,0.14,0.14,0.28,0.11,1,1,0.9099999999999999,0.3,0.2222222222222222,0.119,0.031111111111111114,3
SLB_20260221_H_AVSFUTEBOLSAD,2026-02-21,2025/26,Liga Portugal,Home,avsfutebolsad,AVS - Futebol SAD,Benfica,AVS - Futebol SAD,23.0,3,0,H,14289000,4844359,201,3,0,W,65%,22,9,3.69,35%,3,0,0.11,3.41,0.28,3.69,3.73,0.08,0.03,0.11,0.0,19,9,3.58,0.4090909090909091,0.0,0.16772727272727272,0.03666666666666667,3
SLB_20260302_A_GILVICENTE,2026-03-02,2025/26,Liga Portugal,Away,gilvicente,Gil Vicente,Gil Vicente,Benfica,24.0,1,2,A,14288810,4844374,215,2,1,W,51%,10,3,0.75,49%,13,5,0.88,0.68,0.07,0.75,0.84,0.28,0.6,0.88,1.26,-3,-2,-0.13,0.3,0.38461538461538464,0.075,0.06769230769230769,3
SLB_20260308_H_FCPORTO,2026-03-08,2025/26,Liga Portugal,Home,fcporto,FC Porto,Benfica,FC Porto,25.0,2,2,D,14288822,4844385,222,2,2,D,60%,20,6,1.23,40%,14,6,2.12,1.06,0.17,1.23,1.79,2.04,0.09,2.12,2.25,6,0,-0.8900000000000001,0.3,0.42857142857142855,0.0615,0.15142857142857144,1
SLB_20260314_A_AROUCA,2026-03-14,2025/26,Liga Portugal,Away,arouca,FC Arouca,FC Arouca,Benfica,26.0,1,2,A,14288830,4844393,227,2,1,W,61%,22,5,2.1,39%,12,6,2.4,0.94,1.16,2.1,1.38,1.61,0.0,1.61,3.0,10,-1,-0.2999999999999998,0.22727272727272727,0.5,0.09545454545454546,0.19999999999999998,3
SLB_20260321_H_VITORIAGUIMARAES,2026-03-21,2025/26,Liga Portugal,Home,vitoriaguimaraes,Vitória SC,Benfica,Vitória SC,27.0,3,0,H,14288841,4844403,235,3,0,W,49%,12,4,2.34,51%,16,2,0.75,2.28,0.06,2.34,0.9,0.61,0.14,0.75,0.14,-4,2,1.5899999999999999,0.3333333333333333,0.125,0.19499999999999998,0.046875,3
SLB_20260406_A_CASAPIA,2026-04-06,2025/26,Liga Portugal,Away,casapia,Casa Pia,Casa Pia,Benfica,28.0,1,1,D,14288848,4844410,249,1,1,D,79%,18,3,1.93,21%,8,2,0.29,1.51,0.43,1.93,1.37,0.13,0.16,0.29,0.62,10,1,1.64,0.16666666666666666,0.25,0.10722222222222222,0.03625,1
SLB_20260412_H_NACIONAL,2026-04-12,2025/26,Liga Portugal,Home,nacional,CD Nacional,Benfica,CD Nacional,29.0,2,0,H,14288859,4844421,255,2,0,W,58%,24,8,3.43,42%,7,4,0.25,1.9,0.74,2.64,2.91,0.15,0.1,0.25,0.64,17,4,3.18,0.3333333333333333,0.5714285714285714,0.14291666666666666,0.03571428571428571,3
SLB_20260419_A_SPORTINGCP,2026-04-19,2025/26,Liga Portugal,Away,sportingcp,Sporting CP,Sporting CP,Benfica,30.0,1,2,A,14288865,4844426,264,2,1,W,39%,14,5,2.27,61%,19,6,1.63,1.17,0.32,1.49,2.36,0.72,0.12,0.84,1.82,-5,-1,0.6400000000000001,0.35714285714285715,0.3157894736842105,0.16214285714285714,0.08578947368421053,3
SLB_20260425_H_MOREIRENSE,2026-04-25,2025/26,Liga Portugal,Home,moreirense,Moreirense,Benfica,Moreirense,31.0,4,1,H,14288877,4844438,271,4,1,W,58%,17,8,1.99,42%,8,4,0.89,1.58,0.42,1.99,3.86,0.38,0.52,0.89,1.35,9,4,1.1,0.47058823529411764,0.5,0.11705882352941177,0.11125,3
SLB_20260502_A_FAMALICAO,2026-05-02,2025/26,Liga Portugal,Away,famalicao,Famalicão,Famalicão,Benfica,32.0,2,2,D,14288883,4844444,282,2,2,D,43%,8,3,1.29,57%,15,5,1.58,0.37,0.13,0.5,0.8,0.83,0.75,1.58,1.22,-7,-2,-0.29000000000000004,0.375,0.3333333333333333,0.16125,0.10533333333333333,1
SLB_20260511_H_BRAGA,2026-05-11,2025/26,Liga Portugal,Home,braga,Sporting Braga,Benfica,Sporting Braga,33.0,2,2,D,14288898,4844457,290,2,2,D,52%,24,8,2.91,48%,5,2,0.2,1.09,1.03,2.12,2.84,0.2,0.0,0.2,0.85,19,6,2.71,0.3333333333333333,0.4,0.12125000000000001,0.04,1
SLB_20260516_A_ESTORIL,2026-05-16,2025/26,Liga Portugal,Away,estoril,Estoril Praia,Estoril Praia,Benfica,34.0,1,3,A,14336198,4844462,303,3,1,W,52%,19,8,4.15,48%,16,6,1.52,2.7,1.45,4.15,2.16,1.5,0.02,1.52,0.88,3,2,2.6300000000000003,0.42105263157894735,0.375,0.21842105263157896,0.095,3
