benfica_match_id,event_id,date,competition,season,round,venue,opponent,home_team,away_team,benfica__attack__big_chances_missed,benfica__attack__big_chances_scored,benfica__attack__fouled_in_final_third,benfica__attack__offsides,benfica__attack__through_balls,benfica__attack__touches_in_penalty_area,benfica__defending__clearances,benfica__defending__errors_lead_to_a_goal,benfica__defending__errors_lead_to_a_shot,benfica__defending__interceptions,benfica__defending__recoveries,benfica__defending__tackles_won,benfica__defending__total_tackles,benfica__duels__aerial_duels,benfica__duels__dispossessed,benfica__duels__dribbles,benfica__duels__duels,benfica__duels__ground_duels,benfica__goalkeeping__big_saves,benfica__goalkeeping__goal_kicks,benfica__goalkeeping__goals_prevented,benfica__goalkeeping__high_claims,benfica__goalkeeping__penalty_saves,benfica__goalkeeping__punches,benfica__goalkeeping__total_saves,benfica__match_overview__ball_possession,benfica__match_overview__big_chances,benfica__match_overview__corner_kicks,benfica__match_overview__distance_covered,benfica__match_overview__expected_goals,benfica__match_overview__fouls,benfica__match_overview__free_kicks,benfica__match_overview__goalkeeper_saves,benfica__match_overview__number_of_sprints,benfica__match_overview__passes,benfica__match_overview__red_cards,benfica__match_overview__tackles,benfica__match_overview__total_shots,benfica__match_overview__yellow_cards,benfica__passes__accurate_passes,benfica__passes__crosses,benfica__passes__final_third_entries,benfica__passes__final_third_phase,benfica__passes__long_balls,benfica__passes__throw_ins,benfica__shots__blocked_shots,benfica__shots__hit_woodwork,benfica__shots__shots_inside_box,benfica__shots__shots_off_target,benfica__shots__shots_on_target,benfica__shots__shots_outside_box,benfica__shots__total_shots,opponent__attack__big_chances_missed,opponent__attack__big_chances_scored,opponent__attack__fouled_in_final_third,opponent__attack__offsides,opponent__attack__through_balls,opponent__attack__touches_in_penalty_area,opponent__defending__clearances,opponent__defending__errors_lead_to_a_goal,opponent__defending__errors_lead_to_a_shot,opponent__defending__interceptions,opponent__defending__recoveries,opponent__defending__tackles_won,opponent__defending__total_tackles,opponent__duels__aerial_duels,opponent__duels__dispossessed,opponent__duels__dribbles,opponent__duels__duels,opponent__duels__ground_duels,opponent__goalkeeping__big_saves,opponent__goalkeeping__goal_kicks,opponent__goalkeeping__goals_prevented,opponent__goalkeeping__high_claims,opponent__goalkeeping__penalty_saves,opponent__goalkeeping__punches,opponent__goalkeeping__total_saves,opponent__match_overview__ball_possession,opponent__match_overview__big_chances,opponent__match_overview__corner_kicks,opponent__match_overview__distance_covered,opponent__match_overview__expected_goals,opponent__match_overview__fouls,opponent__match_overview__free_kicks,opponent__match_overview__goalkeeper_saves,opponent__match_overview__number_of_sprints,opponent__match_overview__passes,opponent__match_overview__red_cards,opponent__match_overview__tackles,opponent__match_overview__total_shots,opponent__match_overview__yellow_cards,opponent__passes__accurate_passes,opponent__passes__crosses,opponent__passes__final_third_entries,opponent__passes__final_third_phase,opponent__passes__long_balls,opponent__passes__throw_ins,opponent__shots__blocked_shots,opponent__shots__hit_woodwork,opponent__shots__shots_inside_box,opponent__shots__shots_off_target,opponent__shots__shots_on_target,opponent__shots__shots_outside_box,opponent__shots__total_shots
,14566736,2025-11-05,UEFA Champions League,UEFA Champions League 25/26,4.0,Home,Bayer 04 Leverkusen,Benfica,Bayer 04 Leverkusen,3.0,0.0,1,0.0,3.0,46,10,1.0,0.0,14,54,67%,18,13/23 (57%),7,7/20 (35%),52%,34/68 (50%),,4,-0.63,,,,2,53%,3.0,6,122.0 km,1.62,7,9,2,132.0,530,,18,21,2.0,474,7/26 (27%),59,132/164 (80%),30/46 (65%),15,6,2,12,9,6,9,21,1.0,1.0,3,2.0,1.0,15,33,0.0,1.0,6,44,55%,20,10/23 (43%),12,8/14 (57%),48%,34/68 (50%),,16,0.71,,,,5,47%,2.0,0,122.8 km,0.74,9,7,5,105.0,481,,20,7,3.0,424,1/3 (33%),34,47/66 (71%),19/36 (53%),18,1,0,5,3,3,2,7
SLB_20251109_H_CASAPIA,14131956,2025-11-09,Liga Portugal Betclic,Liga Portugal 25/26,11.0,Home,Casa Pia,Benfica,Casa Pia,1.0,2.0,2,5.0,1.0,35,8,2.0,,6,47,50%,14,12/25 (48%),6,7/16 (44%),49%,27/54 (50%),0.0,1,-0.33,,1.0,0.0,3,66%,3.0,6,,2.22,8,7,3,,562,,14,19,3.0,489,3/18 (17%),93,177/227 (78%),29/48 (60%),21,6,1,10,7,6,9,19,2.0,1.0,1,1.0,0.0,7,33,0.0,,4,37,40%,15,13/25 (52%),6,7/15 (47%),51%,27/54 (50%),3.0,11,0.6,,0.0,1.0,4,34%,3.0,2,,1.21,8,7,4,,292,,15,7,2.0,224,2/7 (29%),20,19/31 (61%),20/45 (44%),15,3,0,4,0,4,3,7
,14917422,2025-11-21,Taça de Portugal,Taca de Portugal 25/26,4.0,Away,Atletico CP,Atletico CP,Benfica,3.0,1.0,4,0.0,,55,17,,1.0,4,49,70%,10,12/27 (44%),13,5/15 (33%),44%,28/63 (44%),0.0,8,,,0.0,0.0,2,69%,4.0,12,,,7,11,2,,558,,10,26,3.0,478,6/28 (21%),68,141/187 (75%),26/42 (62%),19,12,0,19,8,6,7,26,0.0,0.0,0,3.0,,12,39,,0.0,11,49,57%,23,15/27 (56%),7,8/11 (73%),56%,35/63 (56%),1.0,5,,,1.0,2.0,4,31%,0.0,4,,,13,7,4,,256,,23,8,5.0,181,0/9 (0%),22,20/40 (50%),14/47 (30%),17,3,0,3,3,2,5,8
,14566874,2025-11-25,UEFA Champions League,UEFA Champions League 25/26,5.0,Away,AFC Ajax,AFC Ajax,Benfica,1.0,1.0,1,,1.0,25,31,,0.0,8,39,67%,15,19/30 (63%),7,5/13 (38%),52%,34/71 (48%),0.0,3,0.41,3.0,,,4,38%,2.0,4,119.3 km,1.17,8,15,4,75.0,405,,15,11,1.0,332,4/11 (36%),37,69/95 (73%),19/46 (41%),15,3,0,8,4,4,3,11,2.0,0.0,1,,2.0,17,16,,1.0,6,41,53%,15,11/30 (37%),7,15/23 (65%),48%,37/71 (52%),1.0,6,-0.12,0.0,,,2,62%,2.0,10,116.3 km,0.96,15,8,2,85.0,665,,15,7,1.0,591,3/28 (11%),65,109/145 (75%),33/55 (60%),16,1,0,5,3,3,2,7
SLB_20251129_A_NACIONAL,14131968,2025-11-29,Liga Portugal Betclic,Liga Portugal 25/26,12.0,Away,CD Nacional,CD Nacional,Benfica,2.0,1.0,2,1.0,,62,14,1.0,,6,46,50%,12,23/43 (53%),7,18/24 (75%),57%,40/67 (60%),2.0,5,-0.05,,,0.0,1,70%,3.0,11,116.2 km,2.4,8,10,1,135.0,595,,12,30,2.0,503,10/36 (28%),78,213/272 (78%),19/40 (48%),33,10,0,17,12,8,13,30,0.0,1.0,0,0.0,,4,55,0.0,,9,46,69%,13,20/43 (47%),5,8/15 (53%),43%,27/67 (40%),2.0,17,0.62,,,1.0,6,30%,1.0,2,120.7 km,0.39,10,8,6,158.0,265,,13,6,4.0,177,0/7 (0%),42,39/73 (53%),20/64 (31%),8,1,0,2,3,2,4,6
SLB_20251205_H_SPORTINGCP,14131973,2025-12-05,Liga Portugal Betclic,Liga Portugal 25/26,13.0,Home,Sporting CP,Benfica,Sporting CP,,1.0,2,2.0,,13,14,1.0,1.0,11,42,60%,25,14/23 (61%),9,4/14 (29%),54%,48/91 (53%),,3,-0.38,0.0,,2.0,1,41%,1.0,3,87.1 km,0.92,15,20,1,88.0,355,1.0,25,10,2.0,295,3/13 (23%),34,77/105 (73%),12/31 (39%),16,1,0,5,5,4,5,10,,1.0,1,1.0,,9,16,0.0,1.0,8,48,63%,19,9/23 (39%),10,9/24 (38%),46%,43/91 (47%),,4,0.54,2.0,,0.0,3,59%,1.0,2,71.6 km,0.58,20,15,3,63.0,521,0.0,19,5,5.0,454,2/9 (22%),37,70/93 (75%),18/32 (56%),17,1,0,3,2,2,2,5
,14566737,2025-12-10,UEFA Champions League,UEFA Champions League 25/26,6.0,Home,SSC Napoli,Benfica,SSC Napoli,2.0,1.0,2,4.0,1.0,15,41,,0.0,11,48,69%,13,17/38 (45%),8,3/10 (30%),50%,34/63 (54%),0.0,6,0.18,1.0,,1.0,2,40%,3.0,2,115.3 km,2.22,11,21,2,88.0,357,,13,13,1.0,274,1/4 (25%),41,28/65 (43%),20/61 (33%),15,3,0,10,5,5,3,13,1.0,0.0,0,1.0,0.0,23,17,,1.0,5,37,53%,15,21/38 (55%),3,5/15 (33%),50%,29/63 (46%),2.0,5,0.24,0.0,,0.0,3,60%,1.0,6,116.4 km,0.64,21,11,3,100.0,520,,15,9,2.0,437,9/26 (35%),58,98/138 (71%),20/44 (45%),18,2,0,8,5,2,1,9
SLB_20251214_A_MOREIRENSE,14131986,2025-12-14,Liga Portugal Betclic,Liga Portugal 25/26,14.0,Away,Moreirense,Moreirense,Benfica,1.0,2.0,0,1.0,,24,15,0.0,1.0,10,45,63%,16,10/19 (53%),10,15/20 (75%),58%,48/81 (59%),,3,0.16,,,0.0,2,47%,3.0,4,,1.0,15,19,2,,475,,16,10,0.0,410,2/8 (25%),42,78/106 (74%),19/44 (43%),13,3,0,8,2,5,2,10,0.0,0.0,1,0.0,,9,22,2.0,1.0,2,36,60%,15,9/19 (47%),6,3/13 (23%),42%,33/81 (41%),,6,-1.91,,,1.0,1,53%,0.0,4,,0.51,19,15,1,,530,,15,10,2.0,459,2/14 (14%),38,71/89 (80%),23/46 (50%),12,6,0,5,2,2,5,10
,15150335,2025-12-17,Taça de Portugal,Taca de Portugal 25/26,5.0,Away,SC Farense,SC Farense,Benfica,2.0,1.0,8,1.0,,31,16,,,5,42,77%,22,10/23 (43%),7,4/12 (33%),56%,44/73 (60%),0.0,2,,,,0.0,3,64%,3.0,10,,,11,17,3,,483,,22,13,2.0,390,3/18 (17%),60,116/166 (70%),33/54 (61%),29,3,0,8,5,5,5,13,1.0,0.0,3,0.0,,10,31,,,16,50,87%,15,13/23 (57%),14,2/10 (20%),43%,28/72 (39%),1.0,5,,,,1.0,3,36%,1.0,5,,,18,11,3,,268,,15,9,4.0,193,4/10 (40%),30,23/50 (46%),13/47 (28%),19,2,0,5,4,3,4,9
SLB_20251222_H_FAMALICAO,14288840,2025-12-22,Liga Portugal Betclic,Liga Portugal 25/26,15.0,Home,Famalicão,Benfica,Famalicão,,1.0,5,1.0,,19,23,,1.0,6,51,70%,23,11/25 (44%),7,15/23 (65%),60%,57/89 (64%),0.0,2,0.43,2.0,,,2,55%,1.0,5,,1.28,11,19,2,,521,,23,10,0.0,443,5/15 (33%),52,92/133 (69%),23/50 (46%),18,2,0,7,2,6,3,10,,0.0,0,0.0,,13,17,,1.0,16,47,80%,15,14/25 (56%),10,7/20 (35%),40%,32/89 (36%),1.0,7,0.98,0.0,,,5,45%,0.0,2,,0.21,20,11,5,,428,,15,4,1.0,362,1/14 (7%),52,71/96 (74%),27/52 (52%),26,1,0,2,1,2,2,4
SLB_20251228_A_BRAGA,14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,Sporting Braga,Benfica,2.0,1.0,1,1.0,,22,7,1.0,,8,43,69%,16,19/33 (58%),4,9/15 (60%),58%,37/63 (59%),1.0,2,0.24,0.0,,1.0,1,51%,3.0,5,109.2 km,1.23,9,14,1,125.0,500,0.0,16,14,2.0,410,6/14 (43%),40,101/133 (76%),23/44 (52%),19,1,0,10,7,6,4,14,1.0,2.0,2,1.0,,15,12,0.0,,13,39,60%,10,14/33 (42%),6,10/20 (50%),42%,26/63 (41%),1.0,9,0.19,1.0,,0.0,4,49%,3.0,1,116.9 km,1.7,14,8,4,132.0,488,1.0,10,11,4.0,408,1/9 (11%),40,76/107 (71%),5/37 (14%),20,4,0,6,4,3,5,11
SLB_20260103_H_ESTORIL,14288921,2026-01-03,Liga Portugal Betclic,Liga Portugal 25/26,17.0,Home,Estoril Praia,Benfica,Estoril Praia,0.0,3.0,3,2.0,1.0,29,13,0.0,1.0,8,49,70%,20,13/28 (46%),5,11/21 (52%),51%,44/83 (53%),,6,0.69,,,1.0,3,51%,3.0,7,,2.27,12,14,3,,415,,20,20,0.0,338,4/15 (27%),49,81/124 (65%),19/42 (45%),11,10,0,13,7,3,7,20,2.0,0.0,1,0.0,0.0,18,27,2.0,1.0,14,42,67%,15,15/28 (54%),4,12/28 (43%),49%,39/83 (47%),,8,-1.12,,,0.0,0,49%,2.0,3,,0.71,15,12,0,,403,,15,9,2.0,336,1/9 (11%),42,53/80 (66%),19/40 (48%),10,2,0,6,3,4,3,9
,15014414,2026-01-07,Taca da Liga,League Cup 25/26,28.0,Home,Sporting Braga,Benfica,Sporting Braga,1.0,1.0,2,5.0,,21,10,1.0,,8,58,71%,14,11/20 (55%),18,7/17 (41%),44%,33/81 (41%),,2,,,,0.0,2,54%,2.0,2,,,12,12,2,,510,1.0,14,19,3.0,446,4/20 (20%),49,84/107 (79%),20/41 (49%),22,4,0,10,7,8,9,19,2.0,3.0,2,0.0,,7,26,0.0,,11,64,71%,28,9/20 (45%),12,8/10 (80%),56%,48/81 (59%),,7,,,,1.0,7,46%,5.0,0,,,13,12,7,,441,0.0,28,7,4.0,349,1/3 (33%),44,50/80 (63%),20/58 (34%),15,1,0,6,1,5,1,7
,15267916,2026-01-14,Taça de Portugal,Taca de Portugal 25/26,27.0,Away,FC Porto,FC Porto,Benfica,1.0,,2,1.0,1.0,25,27,,1.0,10,43,52%,23,19/36 (53%),5,9/19 (47%),54%,46/85 (54%),1.0,3,,1.0,,1.0,4,53%,1.0,3,,,12,14,4,,416,,23,15,7.0,350,6/20 (30%),56,123/154 (80%),15/40 (38%),27,4,0,9,8,3,6,15,1.0,,1,1.0,0.0,21,26,,1.0,9,43,53%,15,17/36 (47%),8,12/27 (44%),46%,39/85 (46%),0.0,7,,1.0,,1.0,3,47%,1.0,7,,,14,12,3,,363,,15,11,5.0,289,3/17 (18%),39,65/98 (66%),23/48 (48%),23,3,0,6,3,5,5,11
SLB_20260117_A_RIOAVE,14288934,2026-01-17,Liga Portugal Betclic,Liga Portugal 25/26,18.0,Away,Rio Ave,Rio Ave,Benfica,3.0,1.0,1,0.0,,48,12,,0.0,10,55,74%,19,7/15 (47%),11,11/16 (69%),57%,41/69 (59%),,2,0.5,,,,1,63%,4.0,11,105.8 km,1.78,8,12,1,184.0,599,,19,24,2.0,540,8/27 (30%),75,183/223 (82%),23/39 (59%),16,5,1,15,11,8,9,24,0.0,0.0,0,2.0,,7,33,,2.0,6,43,63%,16,8/15 (53%),9,5/15 (33%),43%,28/69 (41%),,12,-1.08,,,,5,37%,0.0,3,108.5 km,0.2,12,8,5,182.0,351,,16,7,1.0,289,2/11 (18%),34,35/56 (63%),22/46 (48%),22,4,1,3,2,1,4,7
,14566765,2026-01-21,UEFA Champions League,UEFA Champions League 25/26,7.0,Away,Juventus,Juventus,Benfica,1.0,0.0,3,0.0,,35,23,,1.0,6,44,40%,25,7/16 (44%),8,11/17 (65%),60%,49/77 (64%),,8,0.09,0.0,,,3,54%,1.0,7,115.1 km,1.44,10,13,3,83.0,497,,25,16,0.0,427,2/19 (11%),44,110/143 (77%),26/49 (53%),11,8,1,8,5,3,8,16,1.0,1.0,3,2.0,,21,28,,1.0,3,46,43%,14,9/16 (56%),12,5/18 (28%),40%,28/77 (36%),,4,0.26,1.0,,,3,46%,2.0,4,115.6 km,1.36,14,10,3,99.0,404,,14,12,2.0,342,4/19 (21%),37,98/117 (84%),23/35 (66%),20,3,1,8,5,4,4,12
