event_id,date,competition,season,round,venue,opponent,player_id,player,position,shirt_number,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,dispossessed,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,topSpeed,kilometersCovered,numberOfSprints,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,aerialLost,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,challengeLost,goals,bigChanceCreated,penaltyConceded,wonContest,errorLeadToAGoal,totalOffside,blockedScoringAttempt,errorLeadToAShot,clearanceOffLine,penaltyWon,goodHighClaim,hitWoodwork,metersCoveredWalkingKm,metersCoveredJoggingKm,lastManTackle,penaltyMiss,penaltySave,crossNotClaimed,ownGoals
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,1087316,Enzo Barrenechea,M,5,True,66.0,57.0,2.0,,0.0,38.0,42.0,19.0,24.0,2.0,8.0,2.0,,,,,,,,90.0,78.0,6.8,10.0,0.0286518,125.32063324432,16.0,33.285,19.32,,"{'original': 6.8, 'alternative': 6.9}",0,,0.0,0.2,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,5.0,,,,1.0,5.0,4.0,1.0,1.0,30.94,11.64,9.0,19.881581023651,1.0,,2.16,0.71,0.05,3.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,228364,Fredrik Aursnes,M,8,True,44.0,33.0,3.0,,0.0,14.0,15.0,19.0,29.0,1.0,3.0,,5.0,,,,,,,90.0,63.0,7.2,17.0,0.224671,126.70682595574,21.0,67.2,12.285,,"{'original': 7.2, 'alternative': 7.5}",2,,-0.02,0.14,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,28.7,12.05,11.0,,,2.0,2.46,0.75,0.08,3.0,1.0,1.0,1.0,,0.3086,0.4298,0.44,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,1123925,Georgiy Sudakov,M,10,True,27.0,22.0,1.0,1.0,0.0,6.0,8.0,16.0,19.0,,6.0,,3.0,,,,,,,80.0,41.0,7.2,9.0,0.248481,175.08113229179,16.0,44.415,25.41,,"{'original': 7.2, 'alternative': 7.5}",0,,0.32,0.31,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,2.0,2.0,,4.0,,1.0,1.0,,,1.0,29.7,9.21,6.0,62.588617828722,3.0,3.0,1.55,0.5,0.07,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,906800,Leandro Barreiro,M,18,True,22.0,17.0,,,0.0,8.0,9.0,9.0,13.0,1.0,3.0,,,,,,,,,80.0,28.0,6.4,8.0,0.00940907,31.979206892836,5.0,25.2,13.23,,"{'original': 6.4, 'alternative': 6.5}",0,,-0.2,0.05,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,1.0,,,,,3.0,1.0,28.4,9.36,6.0,,,,1.54,0.64,0.05,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,74915,Nicolás Otamendi,D,30,True,65.0,53.0,12.0,7.0,0.0,36.0,39.0,17.0,26.0,5.0,9.0,1.0,6.0,,,,,,,90.0,74.0,8.2,12.0,0.00891383,329.27204256823,33.0,144.795,22.05,,"{'original': 8.2, 'alternative': 7.7}",1,,0.14,0.13,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,,,1.0,,2.0,2.0,,2.0,30.89,9.69,9.0,,,,1.21,0.49,0.12,,,,1.0,2.0,0.0882,0.6385,0.51,1.0,1.0,,,,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,1015292,Richard Ríos,M,20,True,42.0,36.0,4.0,2.0,0.0,15.0,16.0,21.0,26.0,3.0,8.0,1.0,5.0,,,,,,,90.0,60.0,6.4,9.0,0.0673151,111.02101666801,14.0,22.785,18.165,,"{'original': 6.4, 'alternative': 7}",5,,0.01,0.16,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,4.0,31.03,10.83,21.0,,,1.0,1.75,0.68,0.3,,,4.0,1.0,1.0,0.3225,0.0481,-0.53,,,,,1.0,1.0,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,993101,Samuel Dahl,D,26,True,43.0,34.0,3.0,1.0,0.0,16.0,21.0,18.0,22.0,,3.0,1.0,1.0,,,,,,,90.0,59.0,6.4,9.0,0.106478,96.764768550709,12.0,70.35,20.895,,"{'original': 6.4, 'alternative': 6.4}",1,,0.32,0.21,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,,,,,3.0,1.0,,,32.83,11.21,16.0,21.949411246628,2.0,1.0,2.05,0.77,0.19,1.0,,,1.0,1.0,0.0689,0.207,-0.28,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,983542,Tomás Araújo,D,44,True,72.0,63.0,3.0,1.0,0.0,44.0,48.0,19.0,24.0,1.0,2.0,1.0,7.0,,,,,,,90.0,83.0,6.1,9.0,0.0276489,216.67699239391,23.0,116.025,33.075,,"{'original': 6.1, 'alternative': 7}",2,,0.11,0.21,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,,,,3.0,1.0,1.0,,,30.6,10.48,13.0,54.144046339831,2.0,,1.19,0.49,0.15,2.0,1.0,1.0,1.0,1.0,0.2785,0.5749,0.19,,,,,,,,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,795236,Vangelis Pavlidis,F,14,True,29.0,22.0,1.0,1.0,1.0,10.0,12.0,12.0,17.0,3.0,4.0,,3.0,,,,,,,90.0,40.0,6.1,13.0,0.0681649,53.626630758962,5.0,26.46,13.755,,"{'original': 6.1, 'alternative': 7.1}",2,,-0.16,-0.13,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,6.0,,2.0,,,,,4.0,1.0,31.26,11.2,13.0,33.245892157903,2.0,2.0,1.93,0.68,0.12,3.0,,1.0,1.0,,0.1106,0.291,0.03,1.0,,,,,,1.0,,,,,,,,,,,,,
14288915,2025-12-28,Liga Portugal Betclic,Liga Portugal 25/26,16.0,Away,Sporting Braga,1100952,Andreas Schjelderup,M,21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
