benfica_match_id,match_id,date,round,home_team,away_team,venue,opponent,benfica__top_stats__ball_possession,opponent__top_stats__ball_possession,benfica__top_stats__expected_goals_xg,opponent__top_stats__expected_goals_xg,benfica__top_stats__total_shots,opponent__top_stats__total_shots,benfica__top_stats__shots_on_target,opponent__top_stats__shots_on_target,benfica__top_stats__touches_in_opposition_box,opponent__top_stats__touches_in_opposition_box,benfica__top_stats__big_chances,opponent__top_stats__big_chances,benfica__top_stats__big_chances_missed,opponent__top_stats__big_chances_missed,benfica__top_stats__accurate_passes,opponent__top_stats__accurate_passes,benfica__top_stats__yellow_cards,opponent__top_stats__yellow_cards,benfica__top_stats__corners,opponent__top_stats__corners,benfica__shots__shots,opponent__shots__shots,benfica__shots__total_shots,opponent__shots__total_shots,benfica__shots__shots_off_target,opponent__shots__shots_off_target,benfica__shots__shots_on_target,opponent__shots__shots_on_target,benfica__shots__blocked_shots,opponent__shots__blocked_shots,benfica__shots__hit_woodwork,opponent__shots__hit_woodwork,benfica__shots__shots_inside_box,opponent__shots__shots_inside_box,benfica__shots__shots_outside_box,opponent__shots__shots_outside_box,benfica__expected_goals_xg__expected_goals_xg,opponent__expected_goals_xg__expected_goals_xg,benfica__expected_goals_xg__xg_open_play,opponent__expected_goals_xg__xg_open_play,benfica__expected_goals_xg__xg_set_play,opponent__expected_goals_xg__xg_set_play,benfica__expected_goals_xg__xg_non_penalty,opponent__expected_goals_xg__xg_non_penalty,benfica__expected_goals_xg__xg_on_target_xgot,opponent__expected_goals_xg__xg_on_target_xgot,benfica__passes__passes,opponent__passes__passes,benfica__passes__accurate_passes,opponent__passes__accurate_passes,benfica__passes__own_half,opponent__passes__own_half,benfica__passes__opposition_half,opponent__passes__opposition_half,benfica__passes__accurate_long_balls,opponent__passes__accurate_long_balls,benfica__passes__accurate_crosses,opponent__passes__accurate_crosses,benfica__passes__throws,opponent__passes__throws,benfica__passes__touches_in_opposition_box,opponent__passes__touches_in_opposition_box,benfica__passes__offsides,opponent__passes__offsides,benfica__defence__defence,opponent__defence__defence,benfica__defence__tackles,opponent__defence__tackles,benfica__defence__interceptions,opponent__defence__interceptions,benfica__defence__blocks,opponent__defence__blocks,benfica__defence__clearances,opponent__defence__clearances,benfica__defence__keeper_saves,opponent__defence__keeper_saves,benfica__duels__duels,opponent__duels__duels,benfica__duels__duels_won,opponent__duels__duels_won,benfica__duels__ground_duels_won,opponent__duels__ground_duels_won,benfica__duels__aerial_duels_won,opponent__duels__aerial_duels_won,benfica__duels__successful_dribbles,opponent__duels__successful_dribbles,benfica__discipline__discipline,opponent__discipline__discipline,benfica__discipline__yellow_cards,opponent__discipline__yellow_cards,benfica__discipline__red_cards,opponent__discipline__red_cards,benfica__discipline__fouls_committed,opponent__discipline__fouls_committed
SLB_20260208_H_ALVERCA,4844343,2026-02-08,21,Benfica,Alverca,Home,Alverca,63,37,1.97,1.14,29,6,10,2,50,9,2,2,1,1,385 (85%),201 (72%),3,2,9,1,,,29,6,9,2,10,2,10,2,1,0,17,4,12,2,1.97,1.14,1.58,0.67,0.39,0.47,1.97,1.14,3.17,0.49,454,280,385 (85%),201 (72%),133,130,252,71,16 (46%),29 (46%),7 (21%),2 (33%),20,19,50,9,2,0,,,21,18,5,12,2,10,13,44,1,8,,,61,59,44 (55%),36 (45%),17 (43%),23 (58%),6 (38%),8 (35%),,,3,2,0,0,11,18
SLB_20260213_A_SANTACLARA,4844356,2026-02-13,22,Santa Clara,Benfica,Away,Santa Clara,47,53,1.19,0.28,10,9,3,2,31,13,3,0,2,0,298 (77%),350 (80%),2,4,7,1,,,10,9,4,1,3,2,3,6,0,0,7,2,3,7,1.19,0.28,1.01,0.14,0.18,0.14,1.19,0.28,2.02,0.11,385,440,298 (77%),350 (80%),147,206,151,144,16 (36%),32 (50%),3 (19%),1 (8%),27,25,31,13,1,0,,,20,28,14,11,6,3,18,32,1,2,,,66,59,47 (53%),42 (47%),19 (53%),17 (47%),6 (38%),9 (53%),,,2,4,0,1,5,23
SLB_20260221_H_AVSFUTEBOLSAD,4844359,2026-02-21,23,Benfica,AVS Futebol SAD,Home,AVS Futebol SAD,65,35,3.69,0.11,22,3,9,0,48,8,5,0,4,0,471 (87%),200 (69%),0,0,10,1,,,22,3,7,2,9,0,6,1,1,0,14,2,8,1,3.69,0.11,3.41,0.08,0.28,0.03,3.69,0.11,3.73,0.0,539,289,471 (87%),200 (69%),169,120,302,80,25 (66%),20 (38%),9 (28%),2 (13%),18,22,48,8,4,0,,,10,25,6,7,1,5,19,42,0,6,,,47,55,29 (42%),40 (58%),18 (55%),15 (45%),6 (29%),8 (62%),,,0,0,0,0,7,14
SLB_20260302_A_GILVICENTE,4844374,2026-03-02,24,Gil Vicente,Benfica,Away,Gil Vicente,51,49,0.75,0.88,10,13,3,5,32,17,1,1,1,0,308 (76%),309 (81%),3,2,3,5,,,10,13,5,7,3,5,2,1,1,1,6,5,4,8,0.75,0.88,0.68,0.28,0.07,0.6,0.75,0.88,0.84,1.26,404,383,308 (76%),309 (81%),168,203,140,106,19 (38%),24 (48%),3 (27%),5 (29%),24,18,32,17,0,2,,,11,17,6,14,1,2,16,31,4,1,,,58,60,35 (44%),44 (56%),23 (59%),16 (41%),9 (53%),17 (68%),,,3,2,0,0,12,16
SLB_20260308_H_FCPORTO,4844385,2026-03-08,25,Benfica,FC Porto,Home,FC Porto,60,40,1.23,2.12,20,14,6,6,37,19,2,3,0,1,364 (82%),237 (76%),3,7,8,2,,,20,14,5,4,6,6,9,4,1,0,12,7,8,7,1.23,2.12,1.06,2.04,0.17,0.09,1.23,2.12,1.79,2.25,444,313,364 (82%),237 (76%),163,152,201,85,14 (39%),14 (30%),5 (17%),3 (43%),20,17,37,19,0,1,,,20,24,7,17,4,9,10,44,4,5,,,61,55,48 (52%),45 (48%),13 (57%),10 (43%),12 (50%),10 (59%),,,3,7,0,0,11,17
SLB_20260314_A_AROUCA,4844393,2026-03-14,26,Arouca,Benfica,Away,Arouca,61,39,2.1,2.4,22,12,5,6,49,14,4,4,2,3,373 (84%),226 (76%),6,5,15,2,,,22,12,9,3,5,6,8,3,0,0,17,10,5,2,2.1,2.4,0.94,1.61,1.16,0.0,2.1,1.61,1.38,3.0,445,296,373 (84%),226 (76%),206,169,167,57,26 (53%),13 (31%),11 (33%),7 (64%),22,13,49,14,5,0,,,18,13,8,7,2,8,11,31,5,3,,,59,41,45 (60%),30 (40%),14 (56%),11 (44%),11 (58%),7 (44%),,,6,5,1,1,11,17
SLB_20260321_H_VITORIAGUIMARAES,4844403,2026-03-21,27,Benfica,Vitoria de Guimaraes,Home,Vitoria de Guimaraes,49,51,2.34,0.75,12,16,4,2,25,10,6,1,4,1,383 (85%),409 (89%),0,1,4,8,,,12,16,5,9,4,2,3,5,0,0,9,7,3,9,2.34,0.75,2.28,0.61,0.06,0.14,2.34,0.75,0.9,0.14,448,460,383 (85%),409 (89%),225,252,158,157,16 (43%),22 (61%),1 (9%),6 (32%),16,15,25,10,0,1,,,18,18,8,9,5,2,21,18,2,2,,,41,44,38 (51%),36 (49%),3 (27%),8 (73%),5 (36%),4 (29%),,,0,1,0,0,15,15
SLB_20260406_A_CASAPIA,4844410,2026-04-06,28,Casa Pia AC,Benfica,Away,Casa Pia AC,79,21,1.93,0.29,18,8,3,2,44,10,4,2,3,1,522 (86%),72 (45%),0,1,12,3,,,18,8,9,3,3,2,6,3,1,0,12,7,6,1,1.93,0.29,1.51,0.13,0.43,0.16,1.93,0.29,1.37,0.62,605,159,522 (86%),72 (45%),230,27,292,45,17 (49%),18 (34%),5 (18%),0 (0%),27,18,44,10,2,0,,,15,13,4,10,3,6,25,46,1,2,,,60,46,41 (63%),24 (37%),19 (46%),22 (54%),7 (58%),3 (27%),,,0,1,0,0,10,19
SLB_20260412_H_NACIONAL,4844421,2026-04-12,29,Benfica,Nacional,Home,Nacional,58,42,3.43,0.25,24,7,8,4,57,5,5,0,3,0,403 (86%),286 (81%),1,5,15,1,,,24,7,8,2,8,4,8,1,1,0,20,2,4,5,3.43,0.25,1.9,0.15,0.74,0.1,2.64,0.25,2.91,0.64,466,355,403 (86%),286 (81%),180,181,223,105,27 (63%),28 (42%),9 (33%),2 (40%),19,7,57,5,3,2,,,13,25,7,6,1,7,9,39,4,6,,,58,62,44 (49%),46 (51%),14 (47%),16 (53%),12 (44%),9 (50%),,,1,5,0,0,13,18
SLB_20260419_A_SPORTINGCP,4844426,2026-04-19,30,Sporting CP,Benfica,Away,Sporting CP,39,61,2.27,1.63,14,19,5,6,24,30,4,2,2,1,227 (75%),419 (85%),1,2,8,3,,,14,19,5,9,5,6,4,4,0,2,9,12,5,7,2.27,1.63,1.17,0.72,0.32,0.12,1.49,0.84,2.36,1.82,303,491,227 (75%),419 (85%),79,180,148,239,17 (33%),22 (50%),6 (38%),4 (33%),14,22,24,30,1,1,,,20,20,9,3,4,3,17,14,5,3,,,47,60,37 (46%),43 (54%),10 (37%),17 (63%),6 (33%),15 (56%),,,1,2,0,0,8,13
